audience,country,duration,original_language,orignal_title,plot,score,scrapy_creators,scrapy_genres,scrapy_stars,title,tvshow_rank,url,year_start,year_stop
"""tv-ma""","""États-Unis""",0,"""Anglais""","""Shôgun""","""Situé au 17e siècle, John Blackthorne, un marin qui passe du statut d'étranger à celui de samouraï tout en étant utilisé comme pion dans la lutte du leader japonais Toranaga.""",9.2,NULL,"""Aventure|Drame|Historique""","""Hiroyuki Sanada|Cosmo Jarvis|Anna Sawai""","""Shōgun""",24,"""https://www.imdb.com/title/tt2788316/?ref_=chttvtp_i_24""",2024,NULL
"""16""","""États-Unis""",41,"""Anglais""",NULL,"""Raconte l'intensification des tensions entre deux villes suite à l'apparition de nouvelles inventions qui menacent de provoquer une véritable révolution.""",9.0,NULL,"""Animation|Action|Aventure""","""Hailee Steinfeld|Kevin Alejandro|Jason Spisak""","""Arcane""",29,"""https://www.imdb.com/title/tt11126994/?ref_=chttvtp_i_29""",2021,NULL
"""tous publics""","""États-Unis""",45,"""Anglais""",NULL,"""Un professeur de chimie de lycée chez qui on a diagnostiqué un cancer du poumon inopérable se tourne vers la fabrication et la vente de méthamphétamine pour assurer l'avenir de sa famille.""",9.5,"""Vince Gilligan""","""Policier|Drame|Thriller""","""Bryan Cranston|Aaron Paul|Anna Gunn""","""Breaking Bad""",1,"""https://www.imdb.com/title/tt0903747/?ref_=chttvtp_i_1""",2008,2013
"""16""","""Japon""",24,"""Japonais""","""Shingeki no Kyojin""","""Après la destruction de sa ville natale et la mort de sa mère, le jeune Eren Yeager promet de purger la terre des géants humanoïdes appelés Titans qui menacent l'humanité toute entière.""",9.1,NULL,"""Animation|Action|Aventure""","""Jessie James Grelle|Bryce Papenbrook|Trina Nishimura""","""L'attaque des titans""",25,"""https://www.imdb.com/title/tt2560140/?ref_=chttvtp_i_25""",2013,2023
"""13""","""États-Unis""",22,"""Anglais""",NULL,"""Le quotidien d'un groupe d'employés de bureau ordinaire, pour qui une journée de travail typique implique des conflits égocentriques, des comportements inappropriés et de l'ennui total.""",9.0,"""Greg Daniels|Ricky Gervais|Stephen Merchant""","""Comédie""","""Steve Carell|Jenna Fischer|John Krasinski""","""The Office""",27,"""https://www.imdb.com/title/tt0386676/?ref_=chttvtp_i_27""",2005,2013
"""18""","""Inde""",54,"""Hindi""",NULL,"""Situé dans les années 80 et 90 à Bombay, la série suit Harshad Mehta, un agent de change qui a porté le marché boursier à des hauteurs vertigineuses et sa chute catastrophique.""",9.3,NULL,"""Biographique|Policier|Drame""","""Pratik Gandhi|Shreya Dhanwanthary|Hemant Kher""","""Scam 1992: The Harshad Mehta Story""",26,"""https://www.imdb.com/title/tt12392504/?ref_=chttvtp_i_26""",2020,NULL
"""tous publics""","""États-Unis""",23,"""Anglais""",NULL,"""Le Chevalier Noir combat le crime à Gotham City avec l'aide occasionnelle de Robin et de Batgirl.""",9.0,"""Bob Kane|Eric Radomski|Bruce Timm""","""Animation|Action|Aventure""","""Kevin Conroy|Loren Lester|Efrem Zimbalist Jr.""","""Batman""",23,"""https://www.imdb.com/title/tt0103359/?ref_=chttvtp_i_23""",1992,1995
"""tv-g""","""Royaume-Uni""",389,"""Anglais""",NULL,"""La série Mammoth s'intéresse à la plus riche variété de vie dans les océans du monde.""",9.0,NULL,"""Documentaire""","""David Attenborough|Pierce Brosnan|Peter Scoones""","""The Blue Planet""",28,"""https://www.imdb.com/title/tt0296310/?ref_=chttvtp_i_28""",2001,NULL
"""tous publics""","""États-Unis""",51,"""Anglais""","""The Twilight Zone""","""Des gens ordinaires se retrouvent dans des situations extraordinaires et stupéfiantes, qu'ils tentent chacun de résoudre de manière remarquable.""",9.1,"""Rod Serling""","""Drame|Fantastique|Horreur""","""Rod Serling|Robert McCord|Jay Overholts""","""La quatrième dimension""",20,"""https://www.imdb.com/title/tt0052520/?ref_=chttvtp_i_20""",1959,1964
"""tv-ma""","""États-Unis""",990,"""Anglais""",NULL,"""Une histoire complète de l'implication des États-Unis dans le conflit armé qui divise amèrement l'Asie du Sud-Est.""",9.1,NULL,"""Documentaire|Historique|Guerre""","""Peter Coyote|Huy Duc|James Willbanks""","""The Vietnam War""",22,"""https://www.imdb.com/title/tt1877514/?ref_=chttvtp_i_22""",2017,NULL
"""tous publics""","""Royaume-Uni""",88,"""Anglais""",NULL,"""Une version moderne du célèbre détective et de son partenaire médecin résolvant le crime dans la ville de Londres au XXIème siècle.""",9.1,"""Mark Gatiss|Steven Moffat""","""Policier|Drame|Mystère""","""Benedict Cumberbatch|Martin Freeman|Una Stubbs""","""Sherlock""",21,"""https://www.imdb.com/title/tt1475582/?ref_=chttvtp_i_21""",2010,2017
